model,original_file,bpmn2:participant,bpmn2:messageFlow,bpmn2:startEvent,bpmn2:choreographyTask,bpmn2:sequenceFlow,bpmn2:endEvent,ns0:participant,ns0:messageFlow,ns0:startEvent,ns0:choreographyTask,ns0:endEvent,ns0:sequenceFlow,ns0:textAnnotation,ns0:association,ns0:intermediateCatchEvent,ns0:group,bpmn2:exclusiveGateway__unspecified,bpmn2:parallelGateway__unspecified,ns0:exclusiveGateway__Diverging,ns0:eventBasedGateway__Diverging,ns0:exclusiveGateway__Converging,ns0:parallelGateway__Diverging,ns0:parallelGateway__Converging
sid_3413b861_8a47_41d3_8daf_a1e81bd3e518,4d4d408c467544a0987a11030e1bcf05.bpmn,0,0,0,0,0,0,14,8,1,7,1,12,0,0,0,0,0,0,2,0,0,0,0
sid_358b40f6_533a_4871_9977_612ac09f0df0,6a3df18dcb5c4240a60a359acdec3379.bpmn,0,0,0,0,0,0,13,10,1,6,1,7,0,0,0,0,0,0,0,0,0,0,0
sid_35c756a2_9047_4830_87a6_242061afb964,1e4c9e627ed24d6786c9bcf5cbd9e327.bpmn,0,0,0,0,0,0,8,5,1,4,1,5,0,0,0,0,0,0,0,0,0,0,0
sid_3671b301_367a_4a67_a107_c711715b848e,ff5972358b514413beec4ec5b9bdd964.bpmn,0,0,0,0,0,0,6,4,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0
sid_37477dbd_0017_4f9c_9f93_3441f05e35e0,2bece04aa4254721b5af3ce6d16a424a.bpmn,0,0,0,0,0,0,14,9,1,7,1,12,0,0,0,0,0,0,2,0,0,0,0
sid_3772a4c8_337f_4a64_a2fc_de2aebea6f5b,3d0f07f9b84c4e31bbca562f472c8885.bpmn,0,0,0,0,0,0,48,20,1,20,1,36,1,0,0,0,0,0,2,0,0,3,4
sid_377766cd_ef11_4ef6_9fd5_493a682ec2e5,5ffaf1cf779b45d0b6bdaa7a34001f2b.bpmn,0,0,0,0,0,0,16,9,1,8,1,15,0,0,0,0,0,0,2,0,2,0,0
sid_37f6bdb5_b8bd_4d7f_af9e_396a0123f3fe,fb94637911144e53a9174ad421ecf95a.bpmn,0,0,0,0,0,0,22,11,1,11,1,12,0,0,0,0,0,0,0,0,0,0,0
sid_3b5e1e61_6b14_4120_b06e_7436bebbcf78,6ce3d7f230414e899bb29f12d4502d18.bpmn,0,0,0,0,0,0,14,9,1,7,1,12,0,0,0,0,0,0,2,0,0,0,0
sid_3e07c84d_0ca6_4b3f_9118_1e9edc4f027c,2ae7f5fc1c2040a2b47544a71cd4349a.bpmn,0,0,0,0,0,0,14,8,1,7,1,12,0,0,0,0,0,0,2,0,0,0,0
sid_3e540bea_9ea2_4ddb_8cd0_a0b78c942efa,5f4c9bb37f884fc88afe51a5ef8200b9.bpmn,0,0,0,0,0,0,14,8,1,7,1,14,0,0,0,0,0,0,2,0,2,0,0
sid_401c962b_d385_4a39_8601_bc8c92fffc20,4dc86af23557446fae7d76ff3c86663e.bpmn,0,0,0,0,0,0,4,2,1,2,1,6,0,0,0,0,0,0,0,0,0,1,1
sid_405cf59a_c0ec_4aa1_b82d_8d496ea8d112,5de372bfbc1f443c9ff72d7e9f2393e6.bpmn,0,0,0,0,0,0,12,8,1,6,1,9,0,0,0,0,0,0,1,0,0,0,0
sid_40ff8d9d_66c3_4f7e_a4dd_db25463b18c4,feacab50ac1a4579a18e18c60c7b64bc.bpmn,0,0,0,0,0,0,10,6,1,5,1,8,0,0,0,0,0,0,1,0,0,0,0
